4, 8, 2, 1, 1,	39439.695312, 78518, 1.705728, 58626
4, 8, 2, 1, 2,	37681.570312, 74006, 2.037324, 49084
4, 8, 2, 2, 1,	37310.398438, 73542, 2.029839, 49265
4, 8, 2, 2, 2,	35768.863281, 70280, 2.361721, 42342
5, 4, 1, 1, 1,	33293.441406, 66383, 1.316846, 75939
5, 4, 1, 1, 2,	29963.685547, 59767, 1.609995, 62112
5, 4, 1, 2, 1,	29820.130859, 59549, 1.604570, 62322
5, 4, 1, 2, 2,	26840.378906, 53533, 1.868635, 53515
5, 4, 2, 1, 1,	28780.111328, 57663, 1.705699, 58627
5, 4, 2, 1, 2,	24932.878906, 49938, 2.039235, 49038
5, 4, 2, 2, 1,	24606.765625, 49599, 2.030663, 49245
5, 4, 2, 2, 2,	20969.996094, 42270, 2.364457, 42293
5, 8, 1, 1, 1,	41523.734375, 83352, 1.316846, 75939
5, 8, 1, 1, 2,	40026.152344, 79880, 1.609995, 62112
5, 8, 1, 2, 1,	39848.691406, 79654, 1.604570, 62322
5, 8, 1, 2, 2,	38519.347656, 76431, 1.868635, 53515
5, 8, 2, 1, 1,	39439.695312, 78518, 1.705728, 58626
5, 8, 2, 1, 2,	37678.093750, 74003, 2.039235, 49038
5, 8, 2, 2, 1,	37298.410156, 73519, 2.030663, 49245
5, 8, 2, 2, 2,	35747.855469, 70241, 2.364457, 42293
6, 4, 1, 1, 1,	33293.441406, 66383, 1.316846, 75939
6, 4, 1, 1, 2,	29963.685547, 59767, 1.609995, 62112
6, 4, 1, 2, 1,	29820.130859, 59549, 1.604570, 62322
6, 4, 1, 2, 2,	26840.378906, 53533, 1.868635, 53515
6, 4, 2, 1, 1,	28780.111328, 57663, 1.705699, 58627
6, 4, 2, 1, 2,	24932.878906, 49938, 2.039235, 49038
6, 4, 2, 2, 1,	24606.765625, 49599, 2.030663, 49245
6, 4, 2, 2, 2,	20969.996094, 42270, 2.364457, 42293
6, 8, 1, 1, 1,	41523.734375, 83352, 1.316846, 75939
6, 8, 1, 1, 2,	40026.152344, 79880, 1.609995, 62112
6, 8, 1, 2, 1,	39848.691406, 79654, 1.604570, 62322
6, 8, 1, 2, 2,	38519.347656, 76431, 1.868635, 53515
6, 8, 2, 1, 1,	39439.695312, 78518, 1.705728, 58626
6, 8, 2, 1, 2,	37678.093750, 74003, 2.039235, 49038
6, 8, 2, 2, 1,	37298.410156, 73519, 2.030663, 49245
6, 8, 2, 2, 2,	35747.855469, 70241, 2.364457, 42293
7, 4, 1, 1, 1,	33293.441406, 66383, 1.316846, 75939
7, 4, 1, 1, 2,	29963.685547, 59767, 1.609995, 62112
