3, 8, 1, 2, 2,	39488.156250, 78840, 1.727951, 57872
3, 8, 2, 1, 1,	39632.207031, 79143, 1.689560, 59187
3, 8, 2, 1, 2,	37622.351562, 75204, 2.000800, 49980
3, 8, 2, 2, 1,	37402.953125, 74824, 2.048887, 48807
3, 8, 2, 2, 2,	35458.664062, 71060, 2.366752, 42252
4, 4, 1, 1, 1,	34121.113281, 68477, 1.288610, 77603
4, 4, 1, 1, 2,	30668.937500, 61280, 1.565166, 63891
4, 4, 1, 2, 1,	30646.302734, 61223, 1.567742, 63786
4, 4, 1, 2, 2,	28687.794922, 57027, 1.727981, 57871
4, 4, 2, 1, 1,	29031.220703, 57920, 1.693710, 59042
4, 4, 2, 1, 2,	24796.935547, 49447, 2.024947, 49384
4, 4, 2, 2, 1,	24340.564453, 48339, 2.071380, 48277
4, 4, 2, 2, 2,	20123.781250, 39884, 2.411091, 41475
4, 8, 1, 1, 1,	42174.925781, 84043, 1.288610, 77603
4, 8, 1, 1, 2,	40451.222656, 80676, 1.565166, 63891
4, 8, 1, 2, 1,	40444.691406, 80663, 1.567742, 63786
4, 8, 1, 2, 2,	39487.675781, 78840, 1.727981, 57871
4, 8, 2, 1, 1,	39616.906250, 79108, 1.693710, 59042
4, 8, 2, 1, 2,	37452.855469, 74854, 2.024947, 49384
4, 8, 2, 2, 1,	37286.687500, 74596, 2.071380, 48277
4, 8, 2, 2, 2,	35193.101562, 70573, 2.411091, 41475
5, 4, 1, 1, 1,	34121.113281, 68477, 1.288610, 77603
5, 4, 1, 1, 2,	30668.937500, 61280, 1.565166, 63891
5, 4, 1, 2, 1,	30646.302734, 61223, 1.567742, 63786
5, 4, 1, 2, 2,	28687.794922, 57027, 1.727981, 57871
5, 4, 2, 1, 1,	29031.220703, 57920, 1.693710, 59042
5, 4, 2, 1, 2,	24796.935547, 49447, 2.024947, 49384
5, 4, 2, 2, 1,	24322.818359, 48309, 2.072453, 48252
5, 4, 2, 2, 2,	19953.587891, 39581, 2.422070, 41287
5, 8, 1, 1, 1,	42174.925781, 84043, 1.288610, 77603
5, 8, 1, 1, 2,	40451.222656, 80676, 1.565166, 63891
5, 8, 1, 2, 1,	40444.691406, 80663, 1.567742, 63786
5, 8, 1, 2, 2,	39487.675781, 78840, 1.727981, 57871
5, 8, 2, 1, 1,	39616.906250, 79108, 1.693710, 59042
5, 8, 2, 1, 2,	37452.855469, 74854, 2.024947, 49384
5, 8, 2, 2, 1,	37275.648438, 74577, 2.072453, 48252
5, 8, 2, 2, 2,	35091.523438, 70386, 2.422070, 41287
6, 4, 1, 1, 1,	34121.113281, 68477, 1.288610, 77603
6, 4, 1, 1, 2,	30668.937500, 61280, 1.565166, 63891
6, 4, 1, 2, 1,	30646.302734, 61223, 1.567742, 63786
6, 4, 1, 2, 2,	28687.794922, 57027, 1.727981, 57871
6, 4, 2, 1, 1,	29031.220703, 57920, 1.693710, 59042
6, 4, 2, 1, 2,	24796.935547, 49447, 2.024947, 49384
6, 4, 2, 2, 1,	24322.818359, 48309, 2.072453, 48252
6, 4, 2, 2, 2,	19953.585938, 39581, 2.422070, 41287
6, 8, 1, 1, 1,	42174.925781, 84043, 1.288610, 77603
6, 8, 1, 1, 2,	40451.222656, 80676, 1.565166, 63891
6, 8, 1, 2, 1,	40444.691406, 80663, 1.567742, 63786
6, 8, 1, 2, 2,	39487.675781, 78840, 1.727981, 57871
6, 8, 2, 1, 1,	39616.906250, 79108, 1.693710, 59042
6, 8, 2, 1, 2,	37452.855469, 74854, 2.024947, 49384
6, 8, 2, 2, 1,	37275.648438, 74577, 2.072453, 48252
6, 8, 2, 2, 2,	35091.523438, 70386, 2.422070, 41287
7, 4, 1, 1, 1,	34121.113281, 68477, 1.288610, 77603
7, 4, 1, 1, 2,	30668.937500, 61280, 1.565166, 63891
7, 4, 1, 2, 1,	30646.302734, 61223, 1.567742, 63786
7, 4, 1, 2, 2,	28687.794922, 57027, 1.727981, 57871
7, 4, 2, 1, 1,	29031.220703, 57920, 1.693710, 59042
7, 4, 2, 1, 2,	24796.935547, 49447, 2.024947, 49384
7, 4, 2, 2, 1,	24322.818359, 48309, 2.072453, 48252
7, 4, 2, 2, 2,	19953.585938, 39581, 2.422070, 41287
7, 8, 1, 1, 1,	42174.925781, 84043, 1.288610, 77603
7, 8, 1, 1, 2,	40451.222656, 80676, 1.565166, 63891
7, 8, 1, 2, 1,	40444.691406, 80663, 1.567742, 63786
7, 8, 1, 2, 2,	39487.675781, 78840, 1.727981, 57871
7, 8, 2, 1, 1,	39616.906250, 79108, 1.693710, 59042
7, 8, 2, 1, 2,	37452.855469, 74854, 2.024947, 49384
